cid;hex;lac;bch;bsic;bts_date;reg;bts_place;bts_lat;bts_lon
3856;F10;24606;7;34;23.04.2020;BM;Brno - Židenice, Slatinská 3893/1, bytový dům;49.19583056;16.65363889
3857;F11;24656;59;1;30.04.2020;BM;Brno - Žabovřesky, Králova 643/45, Kaunicovy koleje, +VDF;49.20816111;16.58243333
3858;F12;24656;44;9;02.05.2020;BM;Brno - Žabovřesky, Králova 643/45, Kaunicovy koleje, +VDF;49.20816111;16.58243333
3859;F13;24656;47;18;22.04.2020;BM;Brno - Žabovřesky, Králova 643/45, Kaunicovy koleje, +VDF;49.20816111;16.58243333
3861;F15;24606;25;29;22.04.2020;BM;Brno - Juliánov, Juliánovské náměstí 3848/1, panelák;49.19209167;16.65478889
3862;F16;24606;55;32;22.04.2020;BM;Brno - Juliánov, Juliánovské náměstí 3848/1, panelák;49.19209167;16.65478889
3863;F17;24606;41;50;30.04.2020;BM;Brno - Juliánov, Juliánovské náměstí 3848/1, panelák;49.19209167;16.65478889
3864;F18;24606;53;5;30.04.2020;BM;Brno - Židenice, Strakatého 3744/4, bytový dům;49.193375;16.64615556
3865;F19;24606;8;8;22.04.2020;BM;Brno - Židenice, Strakatého 3744/4, bytový dům;49.193375;16.64615556
3866;F1A;24606;47;23;30.04.2020;BM;Brno - Židenice, Strakatého 3744/4, bytový dům;49.193375;16.64615556
3867;F1B;24646;55;54;22.04.2020;BM;Brno - Horní Heršpice, Bednářova, kostel;49.16439722;16.61193889
3868;F1C;24646;38;0;22.04.2020;BM;Brno - Horní Heršpice, Bednářova, kostel;49.16439722;16.61193889
3869;F1D;24646;15;15;22.04.2020;BM;Brno - Horní Heršpice, Bednářova, kostel;49.16439722;16.61193889
3870;F1E;24646;8;18;22.04.2020;BM;Brno - Horní Heršpice, Bednářova, kostel;49.16439722;16.61193889
3871;F1F;24606;24;31;30.04.2020;BM;Brno - Husovice, Elgartova 689/3, gymnázium;49.21205278;16.63243889
3872;F20;24606;43;37;30.04.2020;BM;Brno - Husovice, Elgartova 689/3, gymnázium;49.21205278;16.63243889
3873;F21;24606;10;54;30.04.2020;BM;Brno - Husovice, Elgartova 689/3, gymnázium;49.21205278;16.63243889
3874;F22;24606;53;4;04.05.2020;BM;Brno, Šilingrovo náměstí 257/4;49.19258611;16.60550278
3875;F23;24606;37;10;04.05.2020;BM;Brno, Šilingrovo náměstí 257/4;49.19258611;16.60550278
3876;F24;24606;26;21;22.04.2020;BM;Brno, Šilingrovo náměstí 257/4;49.19258611;16.60550278
3877;F25;24646;31;10;22.04.2020;BM;Brno - Dolní Heršpice, Skandinávská, poutač Avion Shopping Park, +O2, +VDF;49.15687778;16.62879722
3878;F26;24646;40;26;08.05.2020;BM;Brno - Dolní Heršpice, Skandinávská, poutač Avion Shopping Park, +O2, +VDF;49.15687778;16.62879722
3881;F29;24606;28;19;22.04.2020;BM;Brno - Židenice, Šaumannova 2000/18, panelák, +VDF;49.20239167;16.64618333
3882;F2A;24606;44;26;30.04.2020;BM;Brno - Židenice, Šaumannova 2000/18, panelák, +VDF;49.20239167;16.64618333
3883;F2B;24606;36;33;30.04.2020;BM;Brno - Židenice, Šaumannova 2000/18, panelák, +VDF;49.20239167;16.64618333
3884;F2C;24656;60;36;02.05.2020;BM;Brno - Řečkovice, Renčova 1939/11, panelák;49.24754444;16.574275
3885;F2D;24656;30;45;02.05.2020;BM;Brno - Řečkovice, Renčova 1939/11, panelák;49.24754444;16.574275
3886;F2E;24656;13;53;23.04.2020;BM;Brno - Řečkovice, Renčova 1939/11, panelák;49.24754444;16.574275
3887;F2F;24606;23;8;22.04.2020;BM;Brno - Štýřice, Polní 553/3, Nemocnice Milosrdných bratří;49.18546389;16.59739444
3888;F30;24606;46;23;23.04.2020;BM;Brno - Štýřice, Polní 553/3, Nemocnice Milosrdných bratří;49.18546389;16.59739444
3889;F31;24606;41;31;22.04.2020;BM;Brno - Štýřice, Polní 553/3, Nemocnice Milosrdných bratří;49.18546389;16.59739444
3891;F33;24606;57;59;22.04.2020;BM;Brno - Trnitá, Skořepka 391/3a, bytový dům;49.19276667;16.61631944
3892;F34;24606;22;9;22.04.2020;BM;Brno - Trnitá, Skořepka 391/3a, bytový dům;49.19276667;16.61631944
3893;F35;24606;25;21;22.04.2020;BM;Brno - Trnitá, Skořepka 391/3a, bytový dům;49.19276667;16.61631944
3894;F36;24656;23;18;22.04.2020;BM;Brno - Jundrov, Veslařská 85/202, příhradový stožár na svahu nad domem;49.200525;16.56557778
3895;F37;24656;12;39;22.04.2020;BM;Brno - Jundrov, Veslařská 85/202, příhradový stožár na svahu nad domem;49.200525;16.56557778
3897;F39;24656;5;6;01.05.2020;BM;Brno - Lesná, Marie Majerové 480/13, panelák;49.22073611;16.63265556
3898;F3A;24656;53;11;01.05.2020;BM;Brno - Lesná, Marie Majerové 480/13, panelák;49.22073611;16.63265556
3899;F3B;24656;45;18;23.04.2020;BM;Brno - Lesná, Marie Majerové 480/13, panelák;49.22073611;16.63265556
3901;F3D;24656;23;0;22.04.2020;BM;Brno - Bystrc, Ečerova 961/15, panelák;49.22021667;16.51001111
3902;F3E;24656;7;9;22.04.2020;BM;Brno - Bystrc, Ečerova 961/15, panelák;49.22021667;16.51001111
3903;F3F;24656;10;23;22.04.2020;BM;Brno - Bystrc, Ečerova 961/15, panelák;49.22021667;16.51001111
3904;F40;24646;30;52;22.04.2020;BM;Brno - Chrlice, Tovární, příhradový stožár u obalovny, +VDF;49.13092778;16.67684444
3905;F41;24646;39;4;22.04.2020;BM;Brno - Chrlice, Tovární, příhradový stožár u obalovny, +VDF;49.13092778;16.67684444
3906;F42;24646;58;9;28.04.2020;BM;Brno - Chrlice, Tovární, příhradový stožár u obalovny, +VDF;49.13092778;16.67684444
3907;F43;24606;9;27;05.05.2020;BM;Brno - Zábrdovice, Francouzská 358/22, bytový dům;49.20130278;16.61780556
3908;F44;24606;21;32;22.04.2020;BM;Brno - Zábrdovice, Francouzská 358/22, bytový dům;49.20130278;16.61780556
3909;F45;24606;58;45;05.05.2020;BM;Brno - Zábrdovice, Francouzská 358/22, bytový dům;49.20130278;16.61780556
3911;F47;24606;57;4;06.05.2020;BM;Brno - Černá Pole, náměstí 28. října 1899/11, bytový dům;49.20404722;16.61275
3912;F48;24606;38;10;05.05.2020;BM;Brno - Černá Pole, náměstí 28. října 1899/11, bytový dům;49.20404722;16.61275
3913;F49;24606;36;17;05.05.2020;BM;Brno - Černá Pole, náměstí 28. října 1899/11, bytový dům;49.20404722;16.61275
3917;F4D;24646;59;30;30.05.2020;BM;Brno - Dolní Heršpice, Vídeňská 100/117, ABB EJF, hala rozvaděčů;49.15488889;16.60461111
3918;F4E;24646;10;36;21.06.2020;BM;Brno - Dolní Heršpice, Vídeňská 100/117, ABB EJF, hala rozvaděčů;49.15488889;16.60461111
3921;F51;24606;42;6;30.04.2020;BM;Brno, Jezuitská 7/3, bytový dům;49.19698056;16.609725
3922;F52;24606;14;10;22.04.2020;BM;Brno, Jezuitská 7/3, bytový dům;49.19698056;16.609725
3923;F53;24606;10;21;04.05.2020;BM;Brno, Jezuitská 7/3, bytový dům;49.19698056;16.609725
3924;F54;24656;37;14;30.04.2020;BM;Brno - Černá Pole, Provazníkova 1254/42, bytový dům, +VDF;49.21421389;16.62355556
3925;F55;24656;26;22;27.04.2020;BM;Brno - Černá Pole, Provazníkova 1254/42, bytový dům, +VDF;49.21421389;16.62355556
3927;F57;24656;10;37;16.08.2021;BM;Brno - Bystrc, Černého 780/3, panelák;49.21720278;16.52539722
3928;F58;24656;43;56;16.08.2021;BM;Brno - Bystrc, Černého 780/3, panelák;49.21720278;16.52539722
3931;F5B;24656;14;25;30.04.2020;BM;Brno - Žabovřesky, Luční 2556/26, panelák, +O2;49.21604444;16.57225833
3932;F5C;24656;53;39;22.04.2020;BM;Brno - Žabovřesky, Luční 2556/26, panelák, +O2;49.21604444;16.57225833
3933;F5D;24656;41;54;30.04.2020;BM;Brno - Žabovřesky, Luční 2556/26, panelák, +O2;49.21604444;16.57225833
3934;F5E;24606;22;59;17.07.2020;BM;Brno - Husovice, Nováčkova 201/12, bytový dům;49.20918611;16.63047222
3935;F5F;24606;44;21;17.07.2020;BM;Brno - Husovice, Nováčkova 201/12, bytový dům;49.20918611;16.63047222
3936;F60;24606;30;60;17.07.2020;BM;Brno - Husovice, Nováčkova 201/12, bytový dům;49.20918611;16.63047222
3937;F61;24646;6;27;19.03.2021;BM;Brno - Maloměřice, Hády 968/2, příhradový stožár v areálu E.ON;49.2192;16.66027778
3938;F62;24646;10;51;19.03.2021;BM;Brno - Maloměřice, Hády 968/2, příhradový stožár v areálu E.ON;49.2192;16.66027778
3939;F63;24646;43;62;19.03.2021;BM;Brno - Maloměřice, Hády 968/2, příhradový stožár v areálu E.ON;49.2192;16.66027778
3947;F6B;24656;22;25;11.10.2021;BM;Brno - Komín, ulice Čoupkových 662/12, panelák;49.22265556;16.54924444
3948;F6C;24656;42;39;16.08.2021;BM;Brno - Komín, ulice Čoupkových 662/12, panelák;49.22265556;16.54924444
3949;F6D;24656;26;54;16.08.2021;BM;Brno - Komín, ulice Čoupkových 662/12, panelák;49.22265556;16.54924444
3950;F6E;24656;8;59;16.08.2021;BM;Brno - Komín, ulice Čoupkových 662/12, panelák;49.22265556;16.54924444
3951;F6F;24646;13;58;13.08.2021;BM;Brno - Bohunice, Švermova 238/3, panelák;49.16803611;16.57209167
3952;F70;24646;26;4;13.08.2021;BM;Brno - Bohunice, Švermova 238/3, panelák;49.16803611;16.57209167
3953;F71;24646;55;12;13.08.2021;BM;Brno - Bohunice, Švermova 238/3, panelák;49.16803611;16.57209167
3954;F72;24646;38;23;05.11.2021;BM;Brno - Líšeň, Josefy Faimonové 2223/6, panelák, +VDF;49.20105;16.67984722
3955;F73;24646;14;31;05.11.2021;BM;Brno - Líšeň, Josefy Faimonové 2223/6, panelák, +VDF;49.20105;16.67984722
3956;F74;24646;58;34;27.08.2021;BM;Brno - Líšeň, Josefy Faimonové 2223/6, panelák, +VDF;49.20105;16.67984722
3957;F75;24646;46;50;20.10.2021;BM;Brno - Slatina, Řípská 1125/9, Celní úřad, +VDF;49.17254722;16.68285556
3958;F76;24646;42;57;17.08.2021;BM;Brno - Slatina, Řípská 1125/9, Celní úřad, +VDF;49.17254722;16.68285556
3959;F77;24646;44;0;17.08.2021;BM;Brno - Slatina, Řípská 1125/9, Celní úřad, +VDF;49.17254722;16.68285556
3961;F79;24656;22;7;20.08.2021;BM;Brno - Kohoutovice, Pavlovská 576/16, ZŠ;49.19073611;16.52819167
3962;F7A;24656;13;22;20.08.2021;BM;Brno - Kohoutovice, Pavlovská 576/16, ZŠ;49.19073611;16.52819167
3963;F7B;24656;43;35;20.08.2021;BM;Brno - Kohoutovice, Pavlovská 576/16, ZŠ;49.19073611;16.52819167
3964;F7C;24606;56;14;16.08.2021;BM;Brno - Štýřice, Renneská třída 414/36, bytový dům;49.18143889;16.59934167
3965;F7D;24606;58;31;25.08.2021;BM;Brno - Štýřice, Renneská třída 414/36, bytový dům;49.18143889;16.59934167
3966;F7E;24606;8;59;16.08.2021;BM;Brno - Štýřice, Renneská třída 414/36, bytový dům;49.18143889;16.59934167
3967;F7F;24606;29;50;27.08.2021;BM;Brno - Vinohrady, Vlčnovská 4165/3, panelák;49.20955833;16.65992222
3968;F80;24606;40;63;27.08.2021;BM;Brno - Vinohrady, Vlčnovská 4165/3, panelák;49.20955833;16.65992222
3969;F81;24606;27;4;27.08.2021;BM;Brno - Vinohrady, Vlčnovská 4165/3, panelák;49.20955833;16.65992222
3971;F83;24656;54;36;11.10.2021;BM;Brno - Královo Pole, Svatopluka Čecha 1951/97, panelák;49.22011667;16.58576667
3972;F84;24656;45;53;11.10.2021;BM;Brno - Královo Pole, Svatopluka Čecha 1951/97, panelák;49.22011667;16.58576667
3973;F85;24656;12;62;11.10.2021;BM;Brno - Královo Pole, Svatopluka Čecha 1951/97, panelák;49.22011667;16.58576667
3974;F86;24656;40;22;11.10.2021;BM;Brno - Lesná, Halasovo náměstí 113/3, panelák;49.22481389;16.62502778
3975;F87;24656;57;24;11.10.2021;BM;Brno - Lesná, Halasovo náměstí 113/3, panelák;49.22481389;16.62502778
3976;F88;24656;53;62;11.10.2021;BM;Brno - Lesná, Halasovo náměstí 113/3, panelák;49.22481389;16.62502778
3977;F89;24606;10;24;17.10.2021;BM;Brno - Staré Brno, Křídlovická 948/22, bytový dům;49.18787778;16.59884167
3978;F8A;24606;59;32;17.10.2021;BM;Brno - Staré Brno, Křídlovická 948/22, bytový dům;49.18787778;16.59884167
3979;F8B;24606;25;56;17.10.2021;BM;Brno - Staré Brno, Křídlovická 948/22, bytový dům;49.18787778;16.59884167
3981;F8D;24656;58;31;01.11.2021;BM;Brno - Žabovřesky, Záhřebská 2482/41, panelák;49.21749167;16.58357778
3982;F8E;24656;28;57;01.11.2021;BM;Brno - Žabovřesky, Záhřebská 2482/41, panelák;49.21749167;16.58357778
3983;F8F;24656;22;34;01.11.2021;BM;Brno - Žabovřesky, Záhřebská 2482/41, panelák;49.21749167;16.58357778
3984;F90;24656;11;2;08.11.2021;BM;Brno - Veveří, Čápkova 23/16, bytový dům;49.20104167;16.59478889
3985;F91;24656;9;13;08.11.2021;BM;Brno - Veveří, Čápkova 23/16, bytový dům;49.20104167;16.59478889
3986;F92;24656;46;22;11.12.2021;BM;Brno - Veveří, Čápkova 23/16, bytový dům;49.20104167;16.59478889
3987;F93;24646;53;31;13.12.2021;BM;Brno - Líšeň, Masarova 2083/1, panelák;49.20661667;16.67404722
3988;F94;24646;30;15;13.12.2021;BM;Brno - Líšeň, Masarova 2083/1, panelák;49.20661667;16.67404722
3989;F95;24646;42;48;13.12.2021;BM;Brno - Líšeň, Masarova 2083/1, panelák;49.20661667;16.67404722
3991;F97;24656;56;4;07.07.2022;BM;Brno - Řečkovice, Žitná 1478/15, panelák;49.23963889;16.58745833
3992;F98;24656;42;22;07.07.2022;BM;Brno - Řečkovice, Žitná 1478/15, panelák;49.23963889;16.58745833
3993;F99;24656;44;51;07.07.2022;BM;Brno - Řečkovice, Žitná 1478/15, panelák;49.23963889;16.58745833
3994;F9A;24656;41;0;15.12.2021;BM;Brno - Soběšice, příhradový stožár u haly EMS Brno, +O2;49.24696389;16.61537778
